2019-06-04 13:30:38.850  INFO 9368 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$af6a8e77] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-04 13:30:40.113  INFO 9368 --- [main] com.test.register.RegisterApplication    : No active profile set, falling back to default profiles: default
2019-06-04 13:30:40.469  WARN 9368 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-06-04 13:30:40.590  INFO 9368 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=da0607dc-f8ff-357b-9139-dda9430f7537
2019-06-04 13:30:40.637  INFO 9368 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$af6a8e77] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-04 13:30:40.766  INFO 9368 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8881 (http)
2019-06-04 13:30:40.783  INFO 9368 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-06-04 13:30:40.784  INFO 9368 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-06-04 13:30:40.867  INFO 9368 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-06-04 13:30:40.867  INFO 9368 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 747 ms
2019-06-04 13:30:40.919  WARN 9368 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-06-04 13:30:40.919  INFO 9368 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-06-04 13:30:40.925  INFO 9368 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@73c9e8e8
2019-06-04 13:30:42.367  INFO 9368 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2019-06-04 13:30:43.590  INFO 9368 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2019-06-04 13:30:43.710  INFO 9368 --- [main] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
